#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
144,0.799484,3.8251,4.058,0.5365,3.9232,3.8079,3.5857,3.4661,3.3349,3.0862,3.0505,2.9471
145,0.799997,3.8245,4.048,0.5443,3.9053,3.7895,3.5667,3.4466,3.315,3.0654,3.0296,2.9258
146,0.800495,3.8238,4.0377,0.5521,3.8874,3.7712,3.5476,3.427,3.2949,3.0444,3.0084,2.9041
147,0.800981,3.823,4.027,0.56,3.8698,3.7529,3.5284,3.4072,3.2746,3.023,2.9868,2.882
148,0.801451,3.8222,4.0159,0.5679,3.8523,3.7347,3.5092,3.3873,3.2541,3.0012,2.9649,2.8594
149,0.801908,3.8212,4.0043,0.5758,3.8351,3.7165,3.4898,3.3672,3.2333,2.979,2.9424,2.8363
150,0.802349,3.8201,3.9924,0.5839,3.8183,3.6987,3.4702,3.3467,3.2119,2.9559,2.919,2.8122
151,0.802776,3.819,3.9799,0.5919,3.8021,3.681,3.4506,3.3259,3.1901,2.932,2.8949,2.7874
152,0.803189,3.8177,3.9669,0.6,3.7861,3.6634,3.4309,3.3049,3.1679,2.9078,2.8704,2.762
153,0.803586,3.8163,3.9534,0.6081,3.7706,3.6461,3.4111,3.2839,3.1457,2.8831,2.8454,2.7361
154,0.80397,3.8147,3.9394,0.6163,3.7553,3.6291,3.3915,3.2628,3.1233,2.8582,2.8202,2.7098
155,0.804339,3.8131,3.9248,0.6245,3.7403,3.6122,3.3722,3.2421,3.1012,2.8336,2.7952,2.6837
156,0.804693,3.8114,3.9096,0.6327,3.7254,3.5956,3.3533,3.2216,3.0795,2.8091,2.7703,2.6576
157,0.805034,3.8094,3.8938,0.6409,3.7109,3.5792,3.3345,3.2014,3.0578,2.7846,2.7452,2.6312
158,0.805361,3.8074,3.8776,0.6491,3.6969,3.5633,3.3159,3.1812,3.0362,2.7598,2.72,2.6045
159,0.805674,3.8051,3.8607,0.6573,3.6836,3.5478,3.2975,3.161,3.0144,2.7346,2.6943,2.5774
160,0.805974,3.8028,3.8431,0.6656,3.6708,3.5328,3.2793,3.1409,2.9926,2.7092,2.6684,2.5497
161,0.806262,3.8002,3.8251,0.6738,3.6588,3.5182,3.2613,3.1208,2.9708,2.6837,2.6422,2.5218
162,0.806494,3.798,3.8095,0.6806,3.6492,3.5064,3.2465,3.1043,2.9527,2.662,2.6201,2.4981
163,0.806723,3.7957,3.7931,0.6876,3.64,3.4947,3.2316,3.0875,2.9341,2.6399,2.5974,2.4737
