#NUM,BER OF AGE,S= 1,,,,,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#MIX,#NAME?,Z,Ze,ff,[Fe/H],[a/Fe],,,,,,
# 1.,9380  0.24,53 2.046,1E-04 1.,4.90E-01,-2.1,0.2,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#**P,HOTOMETRIC,SYSTEM*,*: HST A,CS-WFC (,PHOENIX),,,,,,,
#---,----------,--------,--------,--------,--------,-------,,,,,,
#AGE,=13.000 EE,PS=266,,,,,,,,,,
#EEP,M/Mo  L,ogTeff,LogG  L,ogL/Lo,F435W,F475W,F555W,F606W,F625W,F775W,F814W,F850L
155,0.783038,3.8076,3.9301,0.5857,3.8573,3.7233,3.4753,3.3405,3.1953,2.9188,2.8792,2.764
156,0.783544,3.806,3.9149,0.5944,3.8409,3.7053,3.4551,3.319,3.1726,2.8935,2.8535,2.7372
157,0.784031,3.8041,3.8992,0.6031,3.8251,3.6877,3.4352,3.2975,3.1499,2.868,2.8275,2.71
158,0.784497,3.8022,3.8829,0.6118,3.8098,3.6705,3.4154,3.2761,3.1271,2.8423,2.8014,2.6824
159,0.784944,3.8001,3.8661,0.6204,3.7952,3.6537,3.3958,3.2549,3.1044,2.8164,2.7749,2.6545
160,0.785372,3.7978,3.8488,0.629,3.7812,3.6374,3.3766,3.2338,3.0817,2.7903,2.7484,2.6263
161,0.785782,3.7954,3.8309,0.6376,3.7679,3.6217,3.3576,3.2129,3.059,2.764,2.7215,2.5978
162,0.786124,3.7933,3.815,0.645,3.7571,3.6086,3.3414,3.1949,3.0394,2.7411,2.698,2.5727
163,0.786462,3.7909,3.7982,0.6525,3.7473,3.5958,3.3251,3.1765,3.0191,2.717,2.6733,2.5464
164,0.786794,3.7884,3.7807,0.6602,3.738,3.5834,3.3085,3.1577,2.9983,2.692,2.6477,2.5189
165,0.78712,3.7857,3.7622,0.6679,3.7295,3.5714,3.2921,3.1386,2.977,2.6663,2.6213,2.4905
166,0.78744,3.7826,3.7423,0.6757,3.7219,3.56,3.276,3.1197,2.9558,2.6402,2.5945,2.4615
167,0.787752,3.7791,3.7206,0.6836,3.716,3.5498,3.2604,3.101,2.9344,2.6134,2.5668,2.4313
168,0.788059,3.7756,3.6986,0.6916,3.711,3.5399,3.2447,3.0819,2.9124,2.5856,2.5382,2.4
169,0.788361,3.7722,3.6772,0.6998,3.7049,3.5293,3.2284,3.0624,2.8902,2.5579,2.5096,2.3689
170,0.788658,3.7691,3.6566,0.7082,3.697,3.5172,3.2113,3.0426,2.8678,2.5306,2.4815,2.3385
171,0.788947,3.7662,3.6362,0.717,3.688,3.5042,3.1936,3.0221,2.8451,2.5032,2.4534,2.3081
172,0.789227,3.7633,3.616,0.726,3.678,3.4902,3.1751,3.001,2.8219,2.4755,2.4249,2.2774
173,0.789496,3.7607,3.5961,0.7354,3.6664,3.475,3.1554,2.979,2.7978,2.4472,2.3959,2.2464
174,0.789752,3.7582,3.5764,0.7452,3.6531,3.4582,3.1346,2.9559,2.7729,2.4184,2.3664,2.215
175,0.789995,3.7559,3.5574,0.7554,3.6381,3.4399,3.1126,2.9319,2.7473,2.3891,2.3366,2.1835
176,0.790225,3.7539,3.5388,0.7659,3.6212,3.4201,3.0895,2.9069,2.7208,2.3594,2.3064,2.1517
177,0.790443,3.7521,3.5208,0.7767,3.6028,3.3991,3.0652,2.8811,2.6936,2.3293,2.2758,2.1197
178,0.79065,3.7505,3.5033,0.7878,3.5833,3.377,3.0403,2.8545,2.6657,2.2988,2.2448,2.0875
179,0.790847,3.749,3.4864,0.7991,3.5625,3.3539,3.0145,2.8273,2.6373,2.2679,2.2136,2.0551
180,0.791037,3.7477,3.4697,0.8105,3.5414,3.3306,2.9884,2.7998,2.6085,2.2368,2.182,2.0224
181,0.79122,3.7465,3.4534,0.822,3.5193,3.3063,2.9619,2.7718,2.5796,2.2056,2.1504,1.9898
182,0.791414,3.7453,3.436,0.8347,3.4942,3.2791,2.9323,2.7409,2.5476,2.1715,2.116,1.9543
183,0.791605,3.7442,3.4187,0.8477,3.4676,3.2507,2.9018,2.7092,2.5149,2.1369,2.0811,1.9185
184,0.791795,3.7431,3.4015,0.8609,3.4401,3.2214,2.8705,2.6769,2.4818,2.102,2.0459,1.8824
185,0.791982,3.7422,3.3845,0.8745,3.4113,3.1911,2.8385,2.6439,2.448,2.0667,2.0103,1.8462
186,0.792167,3.7413,3.3675,0.888,3.382,3.1604,2.8061,2.6107,2.4141,2.0312,1.9746,1.8098
187,0.792351,3.7405,3.3506,0.9018,3.3518,3.1289,2.7732,2.577,2.3798,1.9956,1.9387,1.7732
188,0.792533,3.7398,3.3339,0.9158,3.3208,3.0967,2.7397,2.5429,2.3451,1.9598,1.9028,1.7366
189,0.792714,3.7391,3.3172,0.9298,3.2894,3.0643,2.7062,2.5086,2.3104,1.9239,1.8667,1.7
